PortName,Country,Latitude,Longitude,Min Temp,Max Temp,Annual Temp,Salinity,TempSource,SalinitySource,DataNotes
Bamberton,CAN,48.58333,-123.51667,5.6,23.7,11.8,26.68,"Source is from Active pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 . Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011","Source is from Active pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 . Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011",0
Cowichan.Bay,CAN,48.75,-123.6,5.6,23.7,11.8,26.68,"Source is from Active pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 . Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011",0,0
Crofton,CAN,48.86667,-123.63333,5.6,23.7,11.8,26.68,"Source is from Active Pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 . Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011",0,0
Roberts.Bank,CAN,49.01667,-123.13333,5.6,23.7,11.8,26.68,"Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011",Source is from Active pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Plumper.Sound,CAN,48.76667,-123.2,5.6,23.7,11.8,26.68,"Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011",Source is from Active Pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Sidney,CAN,48.65,-123.38333,5.6,23.7,11.8,26.68,"Sea Surface Temp, 11 yr - 2007 to 2011/ 1 yr - 2011",Source is from Active pass (lat and long: 48.867 -123.283). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Tofino,CAN,49.13333,-125.9,5.5,16.8,10.76,29.25,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1 yr - Sept 2016 to Aug 2017 ",Source is from Amphitrite Point (lat and long: 48.9203 -125.5444). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Ucluelet,CAN,48.91667,-125.56667,5.5,16.8,10.76,29.25,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1 yr - Sept 2016 to Aug 2017 ",Source is from Amphitrite Point (lat and long: 48.9203 -125.5444). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Comox,CAN,49.66667,-124.91667,5.4,24.8,12.14,27.85,"Source is from Chrome Island (lat and long: 49.4722 -124.6852). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 . Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",0,0
Powell.River,CAN,49.86667,-124.55,5.4,24.8,12.14,27.85,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Chrome Island (lat and long: 49.4722 -124.6852). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Sechelt,CAN,49.46667,-123.75,5.4,24.8,12.14,27.85,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Chrome Island (lat and long: 49.4722 -124.6852). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Texada.Island,CAN,49.7,-124.55,5.4,24.8,12.14,27.85,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Chrome Island (lat and long: 49.4722 -124.6852). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Union.Bay,CAN,49.58333,-124.86667,5.4,24.8,12.14,27.85,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Chrome Island (lat and long: 49.4722 -124.6852). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Esquimalt,CAN,48.43333,-123.43333,4.8,13.4,9.52,31.01,Source is from Race Rocks (lat and long: 48.2996 -123.5318). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82887 . Sea Surface Temp; 11yr - 2007 to 2017; 1 yr - Aug 2016 to July 2017,0,0
Constance.Bank,CAN,48.35,-123.36667,4.8,13.4,9.52,31.01,Source is from Race Rocks (lat and long: 48.2996 -123.5318). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 . Sea Surface Temp; 11yr - 2007 to 2017; 1 yr - Aug 2016 to July 2017,0,0
Ogden.Point,CAN,48.41667,-123.38333,4.8,13.4,9.52,31.01,Sea Surface Temp; 11yr - 2007 to 2017; 1 yr - Aug 2016 to July 2017,Source is from Race Rocks (lat and long: 48.2996 -123.5318). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82885,0
Victoria.CAN,CAN,48.41667,-123.38333,4.8,13.4,9.52,31.01,Sea Surface Temp; 11yr - 2007 to 2017; 1 yr - Aug 2016 to July 2017,Source is from Race Rocks (lat and long: 48.2996 -123.5318). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82886,0
Duke.Point,CAN,49.16667,-123.95,3.1,22.5,11.42,24.45,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Departure Bay(lat and long: 49.2064 -123.9624). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Chemainus,CAN,48.91667,-123.7,3.1,22.5,11.42,24.45,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Departure Bay(lat and long: 49.2064 -123.9624). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Harmac,CAN,49.13333,-123.85,3.1,22.5,11.42,24.45,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Departure Bay(lat and long: 49.2064 -123.9624). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Ladysmith,CAN,48.98333,-123.78333,3.1,22.5,11.42,24.45,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Departure Bay(lat and long: 49.2064 -123.9624). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Nanaimo,CAN,49.16667,-123.93333,3.1,22.5,11.42,24.45,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Departure Bay(lat and long: 49.2064 -123.9624). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Masset,CAN,54,-132.15,2.8,15.1,9.07,31.72,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - AUG 2016 to SEPT 2017 ",0,0
Port.Cartier,CAN,50.01667,-66.86667,0,17.74,4.09,29.68966667,Air,"DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Sept-Iles; Section Sept-Iles (Lat/Long: 50.047 66.283); Average water surface temp; 3 samples taken - one from March, June, and November",0
Pointe.Aux.Basques,CAN,50.18333,-66.36667,-1.41,13.58,4.66,29.68966667,Tcports_NearKeller_WOA,"DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Sept-Iles; Section Sept-Iles (Lat/Long: 50.047 66.283); Average water surface temp; 3 samples taken - one from March, June, and November",0
Sept-Iles,CAN,50.18333,-66.38333,-1.41,13.58,4.66,29.68966667,Tcports_NearKeller_WOA,"DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Sept-Iles; Section Sept-Iles (Lat/Long: 50.047 66.283); Average water surface temp; 3 samples taken - one from March, June, and November",0
Pointe.Noire.CAN,CAN,50.16667,-66.46667,-1.41,13.58,4.66,30.32,WOA,WOA,0
Seven.Islands,CAN,50.1,-66.38333,-1.41,13.58,4.66,30.32,WOA,WOA,0
Sainte-Anne-des-Monts,CAN,49.13333,-66.48333,-1.41,13.58,4.66,27.10333333,Tcports_NearKeller_WOA,"Sainte-Anne-des-Monts; Section Sept-Iles (Lat/long: 49.243 66.191); Average water surface temp; 3 samples taken - one from March, June, and November",0
Mont.Louis,CAN,49.23333,-65.73333,-0.96,13.54,5.06,29.72,WOA,WOA,0
Les.Mechins,CAN,49.01667,-66.98333,-1.39,12.43,4.51,27.10333333,WOA,"DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Sainte-Anne-des-Monts; Section Sept-Iles (Lat/long: 49.243 66.191); Average water surface temp; 3 samples taken - one from March, June, and November",0
Rimouski,CAN,48.48333,-68.51667,-1.24,9.75,3.59,25.02975,WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2019. Rimouski (lat/long: 48.626 68.541); 4 samples from 2017 (2 from May and 2 from November); Water Surface Temp,0
Bic,CAN,48.36667,-68.75,0,18.93,5.56,25.02975,Air,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2018. Rimouski (lat/long: 48.626 68.541); 4 samples from 2017 (2 from May and 2 from November); Water Surface Temp,0
Gaspe,CAN,48.83333,-64.48333,0,18.33,5.33,27.193,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017 . Gaspe; Section Anticosti (lat/long: 49.217 64.798); Water Surface Temp; 2 samples from 2017 one from June and one from November. ,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017 . Gaspe; Section Anticosti (lat/long: 49.217 64.798); Water Surface Temp; 2 samples from 2017 one from June and one from November. ,0
Laurentian.Channel,CAN,48,-61.5,-0.57,14.21,5.69,30.77,Tcports_NearKeller_WOA,Tcports_NearKeller_WOA,"Nearest point was 48.5, -61.5"
Port.Menier,CAN,49.81667,-64.35,0,16.94,4.79,29.383,0,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017 . Port Menier; Section Anticosti (lat/long: 49.666 64.416); Water Surface Temp; 2 samples from 2017 one from June and one from November. ,0
Escoumins,CAN,48.35,-69.41667,0,19.9,5.56,24.00825,Tcports_NearKeller_Air,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Forestville (lat/long: 48.822 68.741); 4 samples from 2017 (2 from May and 2 from November); Water Surface Temp.,0
Forestville,CAN,48.8,-69.06667,0,19.41,5.35,24.00825,Air,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Forestville (lat/long: 48.822 68.741); 4 samples from 2017 (2 from May and 2 from November); Water Surface Temp,0
Les.Escoumins,CAN,48.33333,-69.33333,0,19.9,5.56,24.00825,Tcports_NearKeller_Air,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Forestville (lat/long: 48.822 68.741); 4 samples from 2017 (2 from May and 2 from November); Water Surface Temp,0
Portneuf,CAN,48.61667,-69.08333,1.17,7.83,4.11,24.00825,WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Forestville (lat/long: 48.822 68.741); 4 samples from 2017 (2 from May and 2 from November); Water Surface Temp,0
St..George's.Hbr.,CAN,48.45,-58.48333,0.22,17.44,6.38,31.47,Air,WOA,0
Turf.Point,CAN,48.43333,-58.46667,0.22,17.44,6.38,31.47,Air,WOA,0
Cow.Head,CAN,49.9,-57.78,-0.13,11.82,4.76,30.197,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017 . Section Bonne Bay (lat/long: 49.342 58.499); 2 water surface temp samples (one in June and one in November),DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017 . Section Bonne Bay (lat/long: 49.342 58.499); 2 water surface temp samples (one in June and one in November),0
Burgeo,CAN,47.6,-57.61667,0.58,16.44,6.32,30.329,Air,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Cape Ray; Section Cabot Strait (lat/long: 47.435 59.548); 2 water surface temp samples (one in June and one in November),0
Bay.St..George,CAN,48.68333,-59.5,-0.16,14.31,5.79,30.329,Tcports_NearKeller_WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Cape Ray; Section Cabot Strait (lat/long: 47.435 59.548); 2 water surface temp samples (one in June and one in November),0
Ramea.Is.,CAN,47.51667,-57.41667,0.33,15.94,5.56,31.69,Air,WOA,0
Stephenville,CAN,48.51667,-58.53333,0.16,17.34,6.05,31.47,Air,WOA,0
Lower.Cove,CAN,48.51667,-59.1,-0.26,15.64,5.89,31.46,WOA,WOA,0
Caraquet,CAN,47.8,-65.01667,0.35,15.29,6.71,28.1235,WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Lameque Island; Section ëles-de-la-Madeleine (lat/long: 47.833 64.25); Water Surface Temp; 2 samples from 2017 one from June and one from November. ,0
Shippegan,CAN,47.75,-64.7,-0.05,15.28,6.67,28.85,WOA,WOA,0
Paspebiac,CAN,48.03333,-65.23333,0,19.12,5.78,28.49,Air,WOA,0
Amherst,CAN,47.23333,-61.83333,-0.89,16.63,6.49,29.9425,Tcports_NearKeller_WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Cap aux Meules; Section ëles-de-la-Madeleine (lat/long: 47.001 61.757); Water Surface Temp; 2 samples from 2017 one from June and one from November. ,0
Cap-aux-Meules,CAN,47.38333,-61.85,-0.89,16.63,6.49,30.3,Tcports_NearKeller_WOA,Tcports_NearKeller_WOA,"Nearest point was 47.38333, -61.85"
Cap.Aux.Meules,CAN,47.38333,-61.86667,-0.89,16.63,6.49,30.3,WOA,WOA,0
Grindstone,CAN,47.38333,-61.85,-0.89,16.63,6.49,30.3,WOA,WOA,0
Dingwall.CAN,CAN,46.9,-60.45,-0.73,16.84,6.45,30.34,WOA,WOA,0
Cheticamp,CAN,46.63333,-61.01667,0.31,19.7,7.63,29.7,Air,Close,0
Arichat,CAN,45.51667,-61.03333,0.18,17.22,7.49,31.374,Tcports_NearKeller_WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Section Louisbourg Line (lat/long: 43.477 57.516); 2 water surface temp samples from 2016 (one in April and one in September),0
Canso,CAN,45.25,-61,0.18,17.22,7.49,31.374,Tcports_NearKeller_WOA,DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017. Section Louisbourg Line (lat/long: 43.477 57.516); 2 water surface temp samples from 2016 (one in April and one in September),0
Canso.Hbr.,CAN,45.33333,-61,0.18,17.22,7.49,30.4,WOA,WOA,0
Cole.Hbr.,CAN,45.25,-61.28333,0.82,18.83,7.66,30.5,Air,WOA,0
Louisbourg,CAN,45.91667,-59.96667,-0.65,16.96,6.56,30.19,Tcports_NearKeller_WOA,Tcports_NearKeller_WOA,"Nearest point was 45.91667, -59.96667"
Glace.Bay,CAN,46.2,-59.95,0.04,17.25,6.84,30.34,WOA,WOA,0
Louisburg,CAN,45.91667,-59.96667,-0.65,16.96,6.56,30.19,WOA,WOA,0
Tuktoyaktuk,CAN,69.43333,-133.05,-1.63,7.89,1.31,15.56,0,WOA,0
Vancouver.CAN,CAN,49.28333,-123.11667,5.64,19.61,12.05,25.3,Air,Close,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Fraser.River.Port,CAN,49.2,-122.91667,5.32,19.7,11.95,0,Air,Close,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Richmond.CAN,CAN,49.15,-123.16667,5.56,18.93,11.92,25.3,Air,Close,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Berrypoint,CAN,49.3,-123,5.32,19.7,11.95,25.3,Tcports_NearKeller_Air,Tcports_NearKeller_Close,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
English.Bay.CAN,CAN,49.285,-123.1608,5.64,19.61,12.05,25.3,#N/A,#N/A,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Fraser.Port,CAN,49.2,-122.91667,5.32,19.7,11.95,0,Tcports_NearKeller_Air,Tcports_NearKeller_Close,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Port.Moody,CAN,49.28333,-122.88333,5.32,19.7,11.95,25.3,Tcports_NearKeller_Air,Tcports_NearKeller_Close,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Fraser.Wharves,CAN,49.13361,-123.0656,5.48,18.83,11.61,26.22,Tcports_NearKeller_Air,Tcports_NearKeller_WOA,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Fraser-Surrey.Docks,CAN,49.11667,-122.73333,5.64,18.33,11.67,0,Tcports_NearKeller_Air,Tcports_NearKeller_WOA,"*Temp verified on seatemperature.org; Min seems right, but max is possible wrong and should be verified"
Boston.USA,USA,42.38333,-71.05,1.66,24.02,11.82,16.59,Air,Model,Verified: NOAA Website (https://www.nodc.noaa.gov/dsdt/cwtg/all.html)
Corner.Brook,CAN,48.95,-57.93333,0.06,17.94,6.1655,13.63,Keller Air (Min/Max); Mean DFO Hydrographic Data - http://www.isdm.gc.ca/isdm-gdsi/azmp-pmza/hydro/section/yearly-annuelle-eng.html?a=11&y=2017 . Section Bonne Bay (lat/long: 49.342 58.499); 2 water surface temp samples (one in June and one in November),Model,0
Dunkirk,FRA,51.05,2.35,6.15,17.61,11.61,34.35,WOA,WOA,"Verified: European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosctdplot.aspx?platformid=371393). Marambio, Macarena & Canepa, Antonio & Fuentes, Veronica. (2014). The invasive ctenophore Mnemiopsis leidyi in the Spanish Mediterranean coast. 10.13140/2.1.1961.2486. "
Tuzla,TUR,40.80917,29.34806,8.11,24.28,16.26,27.91,Air,WOA,Verified: European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosctdplot.aspx?platformid=371393)
Zonguldak,TUR,41.45,31.78333,6.71,22.24,14.49,18.33,Air,WOA,Verified: European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosctdplot.aspx?platformid=371393)
Bakarista,RU,64.53333,40.51667,0,17.74,4.01,22.19,Tcports_NearKeller_Air,Tcports_NearKeller_Close,Verified: European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/)  from the city Constanto 
Aqaba,JOR,29.51667,35.01667,13.22,28.76,22.49,40.58,Air,WOA,Verified: European Marine Observation and Data Network  (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=29730&60days=false)
Keti.Bandar,PK,24,67.45,23.57,27.72,26.27,36.3,Tcports_NearKeller_WOA,Tcports_NearKeller_WOA,Verified: European Marine Observation and Data Network  (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=29730&60days=false)
Annaba,DZA,36.89972,7.75667,12.72,25.68,18.84,37.03,Air,WOA,Verified: European marine Obervation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=17146&60days=true)
Oran,DZA,35.70583,-0.64222,13.02,26.54,19.57,36.86,Air,WOA,Verified: European marine Obervation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=17146&60days=true)
Ghazaouet,DZA,35.09806,-1.85778,14.76,24.37,18.88,36.58,WOA,WOA,Verified: European marine Obervation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=17146&60days=true)
Stigsnaesvaerkets.Havn,DNK,55.21667,11.25,3.58,18.43,10.28,15.97,Air,WOA,Verified: European marine Obervation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=17146&60days=true)
Barcelona,ESP,41.35,2.16667,10.94,24.44,17.24,37.85,Air,WOA,Verified: European marine Obervation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=17146&60days=true)
Whitegate,IRL,51.83333,-8.25,8.11,16.94,11.92,28.15,Air,Model,Verified: European Marine Observation and Data Network  (http://www.emodnet-physics.eu/Map/platinfo/piroosplot.aspx?platformid=29730&60days=false)
Piraeus,GRC,37.93333,23.63333,14.45,24.82,19.4,38.57,WOA,WOA,Verified: European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosctdplot.aspx?platformid=371393)
Ambriz,AGO,-7.84639,13.12306,23.58,27.59,26.08,34.68,Air,WOA,0
Ambrizete,AGO,-7.26667,12.85,23.41,28.01,26.34,34.73,Air,WOA,0
Baia.dos.Tigres,AGO,-16.51667,11.76667,17.94,24.44,21.79,35.63,Air,WOA,0
Benguela,AGO,-12.58333,13.4,21.41,27.37,24.88,35.37,Air,WOA,0
Cuio,AGO,-12.98333,12.98333,21.13,27.22,24.65,35.33,Air,WOA,0
Lobito,AGO,-12.35361,13.54361,21.23,27.07,24.67,35.37,Air,WOA,0
Luanda,AGO,-8.81389,13.23083,23.14,28.15,26.23,34.76,Air,WOA,0
Namibe,AGO,-15.16472,12.15778,18.93,26.08,22.7,35.73,Air,WOA,0
Porto.Amboim,AGO,-10.72806,13.75667,22.61,27.73,25.68,35.33,Air,WOA,0
Porto.Saco,AGO,-15.13333,12.13333,18.93,26.08,22.7,35.73,Air,WOA,0
Soyo,AGO,-6.12,12.28222,23.58,28.29,26.85,31.28,Air,WOA,0
Sumbe,AGO,-11.2,13.83333,21.79,27.59,25.28,35.33,Air,WOA,0
Sarande,ALB,39.87194,20.00028,8.47,24.7,16.49,38.24,Air,WOA,0
Shengjin,ALB,41.815,19.58722,8.02,25.84,17.16,38.04,Air,WOA,0
Vlore,ALB,40.45556,19.485,9.5,24.95,17.16,38.16,Air,WOA,0
Eckero,ALD,60.21667,19.6,1.07,17.44,7.38,5.78,Air,WOA,0
Ajman,ARE,25.41667,55.43333,20.57,32.25,27.69,38.74,Air,WOA,0
Dubai,ARE,25.26667,55.26667,20.66,32.25,27.72,38.74,Air,WOA,0
Hamriyah,ARE,25.46667,55.48333,20.57,32.25,27.69,38.74,Air,WOA,0
Jebel.Ali,ARE,24.99028,55.06083,20.47,32.3,27.78,28.84,Air,Model,0
Ruwais,ARE,24.15,52.71667,19.99,32.44,28.03,39.87,Air,WOA,0
Sharjah,ARE,25.36667,55.38333,20.57,32.25,27.69,38.74,Air,WOA,0
Umm.al.Nar,ARE,24.43333,54.5,20.47,32.3,27.88,21.82,Air,Model,0
Arroyo.Seco,ARG,-33.12917,-60.51778,12.82,25.52,19.32,0,Air,DistIn,0
Bahia.Blanca,ARG,-38.73722,-62.28972,10.16,24.61,17.32,20.24,Air,Model,0
Barranqueras,ARG,-27.49139,-58.93472,17.54,27.66,23.03,0,Air,DistIn,0
Caleta.Cordova,ARG,-45.71667,-67.35,8.47,21.04,14.82,33.2,Air,WOA,0
Camarones,ARG,-44.45,-65.7,7.49,21.04,14.26,33.34,Air,WOA,0
Concepcion.del.Uruguay,ARG,-32.47944,-58.22833,13.72,26.54,20.32,0,Air,DistIn,0
Corrientes,ARG,-27.48333,-58.83333,17.54,27.66,23.03,0,Air,DistIn,0
Diamante,ARG,-32.06417,-60.63194,14.02,26.16,20.24,0,Air,DistIn,0
General.Lagos,ARG,-33.05,-60.56667,12.82,25.52,19.32,0,Air,DistIn,0
